dataset,record_id,mean,std,variance,min,max,median,rms,peak_to_peak,crest_factor,skewness,kurtosis,q25,q75,iqr,env_mean,env_std,env_max,env_min,total_power,power_mean,power_std,dominant_freq,data_length,shaftSpeed,samplingRate,range,reconstruction_mse,anomaly
AGR.361,30,-0.0011002122491085,0.2288113635291348,0.0523546400800619,-0.67045116,0.7134228,-0.010254383,0.22881400863377,1.38387396,3.117915744144294,0.1369943217458484,-0.525393969505406,-0.1743269,0.16553783,0.33986473,0.2915040771648819,0.1404843892515017,0.8131299224035581,0.0006325208388026,56371176.17002892,1717.9525240005155,71958.95135406303,0.1008441776125316,32813,0.0,3125.0,1.38387396,0.007418057936390905,False
AGR.361,31,-0.00111970832739,0.235238567863786,0.055337183810605,-0.6890068,0.8706589,-0.020020962,0.2352412326896445,1.5596657,3.7011321954287935,0.2703367314033392,-0.3660571177378235,-0.17335033,0.15772438,0.33107471,0.3009334838365028,0.1418261600480457,0.8726653775340498,0.0006167947276616,59582506.63343728,1815.8201515691123,74510.72209075984,0.1007832261603632,32813,0.0,3125.0,1.5596657,0.026143044506028,False
AGR.361,32,-0.0011445031009554,0.2510150959301369,0.0630085783848158,-0.76518345,0.7837391,-0.0034179688,0.2510177050969989,1.54892255,3.122246296121405,0.0870531212428085,-0.5129355428106379,-0.18897629,0.17920971,0.368186,0.3210638919422814,0.1514478258274272,0.8652506254492301,0.0004920417324444,67842303.68011446,2067.543463874515,101417.80733415134,0.1008441776125316,32813,0.0,3125.0,1.54892255,0.00778328007501502,False
AGR.361,33,-0.0011289268269505,0.2127247765121559,0.0452518305421467,-0.64701223,0.7436981,-0.0034179688,0.2127277720889477,1.39071033,3.4960085027780856,0.109899856571028,-0.5053397889385347,-0.1616311,0.151865,0.3134961,0.2715585248282361,0.1294639067171681,0.7764328299114542,0.0009372414070823,48720730.263204135,1484.8448818482304,54324.22866145268,0.1008777276606119,32812,0.0,3125.0,1.39071033,0.008012443702416,False
AGR.361,34,-0.0011151275298464,0.234700493659543,0.0550843217240332,-0.7349081,0.7710428,-0.0014648438,0.234703142785607,1.5059509,3.2851831076856106,0.0574699866066578,-0.7332946814476791,-0.18799973,0.17920971,0.36720944,0.3027042546908258,0.1361617462782623,0.7868300373165223,0.0006042409916026,59310240.7802368,1807.5226520049005,71822.35136675963,0.1008441776125316,32813,0.0,3125.0,1.5059509,0.0045248897546983895,False
AGR.361,35,-0.0011305726717429,0.2315315592730266,0.053606862939399,-0.69291353,0.7378378,-0.0034179688,0.2315343195596824,1.43075133,3.186731890992117,0.084864984116025,-0.5510706468215951,-0.17725706,0.16944408,0.3467011399999999,0.2965804086145131,0.1387626221264669,0.7611792527437145,0.0013784076884005,57719508.64009995,1759.043935028798,91487.24591705854,0.1008746533386158,32813,0.0,3125.0,1.43075133,0.00453460823741332,False
AGR.361,36,-0.0011121211927193,0.2101737382943194,0.044173000268609,-0.577672,0.7134228,-0.00048828125,0.2101766806335954,1.2910948,3.394395600165187,0.0714739772654136,-0.8725266388863875,-0.1762805,0.16456032,0.34084082,0.2725337136203749,0.1186280417567991,0.7366579896209531,0.0027193063100561,47562090.47729683,1449.4892413767966,64373.18604080528,0.1008441776125316,32813,0.0,3125.0,1.2910948,0.011815103121943497,False
AGR.361,37,-0.0011545916725413,0.2439321103791897,0.0595028744740451,-0.70951605,0.73100185,-0.00048828125,0.2439348428494287,1.4405179,2.9967094551196123,0.0502923970736835,-0.8328367876323983,-0.20264912,0.19092941,0.39357853,0.3164466961887098,0.137362915305664,0.7804518208787815,0.0015244162490638,64067761.9014355,1952.5115625342244,130321.24139577572,0.1008441776125316,32813,0.0,3125.0,1.4405179,0.013320809814816448,False
AGR.361,38,-0.0011279850590573,0.2194809719044443,0.0481718970281195,-0.676311,0.78471565,-0.01806736,0.2194838704288152,1.46102665,3.57527707374062,0.244004414062786,-0.335527890944487,-0.1596775,0.14698124,0.30665874,0.2801727203938013,0.1335975791459907,0.784805392888348,0.0022797609253879,51867712.764183335,1580.7062068138646,75877.10238919695,0.1007222747081949,32813,0.0,3125.0,1.46102665,0.018720324168431217,False
AGR.361,39,-0.0011273290179639,0.2672239921036836,0.0714086619558295,-0.79155207,0.89116764,-0.004395008,0.2672263700059263,1.6827197100000002,3.3348791138398366,0.0740043854327297,-0.5718706536949982,-0.20460224,0.1938591,0.39846134,0.3436626384625248,0.1572087329233007,0.9246827634141462,0.0011152618488533,76886572.59110251,2343.174125837397,145833.0319626278,0.1008746533386158,32813,0.0,3125.0,1.6827197100000002,0.03919363110103975,False
