dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd,reconstruction_mse,is_anomaly
AGR.361,90,0.2054205,1.3272295,0.23085601,-0.46352997,-21.785518,0.6740203827797513,False
AGR.361,91,0.22859498,1.4493074,0.18911827,-0.50528854,-26.767836,0.6627747401226829,False
AGR.361,92,0.24393484,1.4405179,0.050292397,-0.83283679,-33.582617,1.4874302644070627,False
AGR.361,93,0.22152861,1.4737225,0.16562793,-0.43012292,-30.000501,0.456268060155497,False
AGR.361,94,0.23615744,1.490325,0.25793035,-0.47150567,-22.061793,0.9969463700505339,False
AGR.361,95,0.20902451,1.2696085,0.15943869,-0.63494953,-25.07752,0.70760801741044,False
AGR.361,96,0.22871854,1.4551673,0.14661788,-0.68938551,-27.999616,0.9608159935117957,False
AGR.361,97,0.2381316,1.5127878,0.10532364,-0.58293201,-40.664779,0.732932598984926,False
AGR.361,98,0.22079002,1.4258681,0.18588124,-0.51370977,-22.266587,0.6300905820230875,False
AGR.361,99,0.22152861,1.4737225,0.16562793,-0.43012292,-30.000501,0.456268060155497,False
AGR.561,0,0.22489625,1.8797045,0.22475388,0.13085316,-29.454438,0.8499336447609922,False
AGR.561,1,0.27369876,2.2981377,0.10198287,0.050395307,-49.377388,1.0157706841862872,False
AGR.561,2,0.28484209,2.3426723,0.14540126,0.043520219,-45.776394,1.238364372623869,False
AGR.561,3,0.25915483,2.137631,0.22676438,0.12974548,-30.750824,1.253354981627206,False
AGR.561,4,0.23961892,2.0671182,0.16151831,0.10424161,-34.300305,0.732833469481792,False
AGR.561,5,0.21251501,1.8323874,0.19813427,0.087036804,-38.124359,0.5899669767642759,False
AGR.561,6,0.25170074,2.3398891,0.25317624,0.14003335,-27.846523,1.598425132481311,False
AGR.561,7,0.21323347,1.7136297,0.20356963,0.088778453,-34.445359,0.556108107421436,False
AGR.561,8,0.26085709,2.3009215,0.14381709,0.058470568,-37.702318,1.0065369032125084,False
AGR.561,9,0.21823396,1.9010434,0.19284066,0.068508569,-31.700315,0.6076336700432431,False
AGR.561,10,0.27136936,2.3306107,0.15067151,0.13759085,-48.627371,1.2161608802599537,False
AGR.561,11,0.21340473,2.1172195,0.15623387,0.034653757,-34.223139,0.6086221953867108,False
AGR.561,12,0.22205637,1.7451749,0.18973297,0.042443346,-32.300305,0.4937910197216035,False
AGR.561,13,0.25935266,2.1051579,0.21321381,0.049223944,-34.183249,1.06677383422495,False
AGR.561,14,0.24591382,2.1830921,0.23864593,0.15275268,-27.231119,1.307787834965381,False
AGR.561,15,0.22405778,1.8704271,0.18253951,0.058130195,-32.300305,0.5550365329809702,False
AGR.561,16,0.20657247,1.6728077,0.15064139,0.037519496,-37.374391,0.27119907256624587,False
AGR.561,17,0.23428917,1.859293,0.17597214,0.081472339,-37.556589,0.590581881392308,False
AGR.561,18,0.2631922,2.2814383,0.13818442,0.07732334,-47.627308,1.0012447911635385,False
AGR.561,19,0.25370499,2.0745406,0.22811736,0.11140665,-30.416166,1.1461605482309527,False
AGR.561,20,0.24700312,2.0142341,0.14510587,0.1226081,-50.000163,0.7088443008638288,False
AGR.561,21,0.23019175,1.8973321,0.1881577,0.093112714,-33.300357,0.6558132759375911,False
AGR.561,22,0.22531,1.6820845,0.22996715,0.07583281,-25.07725,0.7077055523803404,False
AGR.561,23,0.26018912,2.1218581,0.17244257,0.094867523,-28.61582,0.9428211673672566,False
AGR.561,24,0.27094407,2.4187508,0.17624552,0.18813967,-38.700367,1.4788490128742513,False
AGR.561,25,0.23679613,1.9019713,0.20811979,0.18597592,-28.082876,0.9099396994676505,False
AGR.561,26,0.23643641,2.0819631,0.18609896,0.10767893,-48.571528,0.8287833318518281,False
AGR.561,27,0.22720874,2.0745402,0.21579219,0.14318998,-32.500335,0.9694744962633839,False
AGR.561,28,0.22943733,2.0448513,0.19632447,0.18348457,-32.701973,0.907978356124034,False
